127.0.0.1 - - [08/Jan/2019:11:48:06 -0200] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/styles.css;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:32 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=06032EC572EA13929E6FBAED19101AB3?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [08/Jan/2019:11:48:33 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
